"id","question_text","question_type","subject","topic","subtopic","grade_level","difficulty","answer_key","explanation","choices","target_language","curriculum_standards","tags","estimated_time_minutes","cognitive_level","image_required","calculator_allowed","real_world_context"
"csv_math_001","What is 12 + 7?","fill in the blank","Mathematics","Addition","Two-digit Addition","2","easy","19","When adding 12 + 7, we can break it down: 12 + 7 = 10 + 2 + 7 = 10 + 9 = 19","","English","KSSR Grade 2 Mathematics|Addition within 100","addition|two_digit|basic_math","2","apply","false","false","true"
"csv_math_002","Which shape has 4 equal sides?","multiple choice","Mathematics","Geometry","2D Shapes","2","medium","Square","A square has 4 equal sides and 4 right angles, making all sides the same length.","Triangle|Rectangle|Square|Circle","English","KSSR Grade 2 Mathematics|2D Shapes","geometry|shapes|properties","2","understand","true","false","false"
"csv_math_003","Is 15 greater than 20?","true false","Mathematics","Number Comparison","Greater Than and Less Than","2","easy","False","15 is less than 20, not greater. When comparing numbers, 20 comes after 15 on the number line.","","English","KSSR Grade 2 Mathematics|Number comparison","comparison|number_sense|ordering","2","understand","false","false","true"
"csv_eng_001","What is the opposite of 'hot'?","short answer","English","Vocabulary","Opposites","1","easy","cold","Hot and cold are opposites. When something is very hot, its opposite would be very cold.","","English","KSSR Grade 1 English|Vocabulary building","vocabulary|opposites|adjectives","2","remember","false","false","true"
"csv_eng_002","Choose the correct spelling:","multiple choice","English","Spelling","Common Words","2","medium","beautiful","The correct spelling is 'beautiful' with 'eau' in the middle. This is a commonly misspelled word.","beatiful|beutiful|beautiful|beautifull","English","KSSR Grade 2 English|Spelling patterns","spelling|common_words|pattern_recognition","3","remember","false","false","false"
"csv_sci_001","What do plants need to grow?","multiple choice","Science","Plants","Plant Growth","1","easy","Sunlight and water","Plants need sunlight for photosynthesis and water to transport nutrients. Both are essential for plant growth.","Only water|Only sunlight|Sunlight and water|Only soil","English","KSSR Grade 1 Science|Living things","plants|growth|basic_needs","3","understand","true","false","true"
"csv_sci_002","Which part of the plant makes food?","fill in the blank","Science","Plants","Plant Parts","2","medium","Leaves","Leaves contain chlorophyll and perform photosynthesis to make food for the plant using sunlight and carbon dioxide.","","English","KSSR Grade 2 Science|Plant parts and functions","plants|photosynthesis|plant_parts","3","understand","true","false","false"
"csv_time_001","How many minutes are in 1 hour?","fill in the blank","Mathematics","Time","Hours and Minutes","3","medium","60","There are 60 minutes in 1 hour. This is a standard time measurement that students should memorize.","","English","KSSR Grade 3 Mathematics|Time measurement","time|minutes|hours","2","remember","false","false","true"
"csv_money_001","Ali has RM 5.00. He buys a toy for RM 2.50. How much money does he have left?","fill in the blank","Mathematics","Money","Money Operations","3","medium","RM 2.50","To find the remaining money: RM 5.00 - RM 2.50 = RM 2.50. Ali has RM 2.50 left.","","English","KSSR Grade 3 Mathematics|Money operations","money|subtraction|real_world|currency","4","apply","false","false","true"
"csv_pattern_001","Continue the pattern: 5, 10, 15, 20, ___","fill in the blank","Mathematics","Patterns","Number Patterns","2","medium","25","This is a pattern of counting by 5s: 5, 10, 15, 20, 25. Each number increases by 5.","","English","KSSR Grade 2 Mathematics|Number patterns","patterns|counting|multiples","3","apply","false","false","false"